tconst	directors	writers
tt4644836	nm1548648	nm1141136
tt4645330	nm0413875	nm2182702,nm0002376
tt4645358	nm0343706	nm0343706,nm1767187
tt4645368	nm0230859	nm0230859,nm2689835
tt4645636	nm7292498	nm7292498
tt4647432	nm5719939	nm4173752,nm7292909,nm7292910
tt4647482	nm0003960	nm0559105,nm0003960
tt4647784	nm0027948	nm0027948,nm0664760
tt4647788	nm5831893	nm5831893
tt4647900	nm2564978,nm2543162	\N
tt4648298	nm7293846	nm11562373,nm0820208
tt4648304	nm4939794	\N
tt4648732	nm0109626	nm0109626
tt4648786	nm0501435	nm0397322,nm0501435
tt4648826	nm2287695	nm2355748,nm2287695
tt4649416	nm0847859	nm0847859
tt4649466	nm0891216	nm0963359,nm0891216,nm2092839,nm1733301
tt4649814	nm2148889	nm2658369
tt4650414	nm0610831	nm0610831,nm7295765
tt4650624	nm5070589	nm1828293,nm7295933,nm4166723
tt4650738	nm2588618	nm2588618,nm2592712
tt4651298	nm3252740	nm1737732,nm3252740,nm1406413,nm5427633,nm3194589
tt4651394	nm0694985	\N
tt4651410	nm2809844	nm2809844,nm2282414
tt4651460	nm0023355	nm0201543
tt4651520	nm0601859,nm0524190	nm0524190,nm0601859
tt4651666	nm0809899	nm0809899
tt4651932	nm2992553	nm2992553
tt4652164	nm0631590	nm5696074
tt4652380	nm4005750	nm3355760,nm2965474
tt4652532	nm2775497	nm0000108,nm0436543
tt4652570	nm0433672,nm5137850	nm4915426,nm0283911
tt4652650	nm0506802	nm1486706
tt4653186	nm2312508	\N
tt4653272	nm1013671	\N
tt4653310	nm7298264	nm0880261
tt4653370	nm0311532	nm0311532,nm0658988
tt4653492	nm1841031	nm1841031
tt4653586	nm0330028	nm7196048,nm0597290,nm0961577
tt4653808	nm2308414,nm2259385	nm2308414
tt4653818	nm1154951	nm1154951
tt4653950	nm0630057	nm1597588,nm0908438,nm2957539
tt4654016	nm0592573	nm0270547
tt4654184	nm1986754	nm1986754
tt4654328	nm0187091	\N
tt4654472	nm2133257	nm5787645
tt4654738	nm1298259	nm6919179
tt4654798	nm2165634	nm6294929,nm2165634,nm4852908,nm7299698
tt4654818	nm5954636	nm5954636
tt4654844	nm2280232,nm6840133	nm6840133
tt4655294	nm2433588,nm1299690,nm1589702,nm1403892,nm4070848	nm5303962,nm2433588,nm4461680,nm1299690,nm8337159,nm5332494
tt4655630	nm3249706	nm3249706,nm5324769
tt4656810	nm2284169	nm2284169,nm5632526,nm3762334
tt4657092	nm0764367,nm3568020	nm0193153,nm4661963,nm0210690
tt4657400	nm7301558	nm7845313,nm7845309,nm7845306,nm7845312
tt4657460	nm7301635	nm1883976,nm7301635
tt4657764	nm3210515,nm7301908	nm7301912,nm7301913,nm7301915,nm7301914
tt4657804	nm1371075	nm0959742,nm1371075,nm8169468
tt4658770	nm1425585,nm5181252	nm1425585,nm5181252
tt4658786	nm2369662	nm2369662
tt4658808	nm4473366	nm6872145,nm4473366
tt4659056	nm0630861	nm0841003
tt4659548	nm5783340	nm7303947
tt4659710	nm4783919	nm4783919
tt4659728	nm2811186	nm3310840,nm2811186
tt4660172	nm0483192	nm7603751,nm0483192
tt4660248	nm0040407	nm0040407,nm4760798,nm1247284
tt4660736	nm3008853	nm3008853,nm2737883
tt4660980	nm0373673	nm3099754,nm3917450,nm2014806
tt4661276	nm1146154,nm2157769	nm1178554,nm1146154
tt4661358	nm7305785	nm7305789,nm7305785
tt4661680	nm0572596	nm1144897,nm0961152
tt4661798	nm1337885	nm1337885
tt4661866	nm6478238	\N
tt4662396	nm2751807	nm2751807
tt4662420	nm1026883	nm1868849
tt4663284	nm1847908	nm1204790,nm3730891
tt4663548	nm0326837	nm4224372
tt4663708	nm1209790	nm1209790
tt4663796	nm5324670	nm5324670
tt4663992	nm6671999	nm6671999
tt4664092	nm7308497,nm7308498	\N
tt4664244	nm0172016	nm1971888
tt4664568	nm1799233	nm3676363
tt4665586	nm0381328	nm2835507,nm7309833
tt4665630	nm2206944	nm2206944
tt4665976	nm5126909	nm5126909
tt4666618	nm2204599	nm6773441,nm0025400,nm2204599
tt4666726	nm1290515	nm2598028
tt4667084	nm0714940	nm0714940
tt4667094	nm1639277	nm0005541,nm0023315
tt4667788	nm0246903	nm0246903
tt4667854	nm0084059	nm2049126,nm2431095,nm1410159,nm2807330
tt4668808	nm0262678	nm3003182
tt4668834	nm2389045,nm2393011	nm7312878,nm2354908,nm0283253
tt4668860	nm0215286	nm0215286
tt4669186	nm0806492,nm1103162	nm0366389,nm1830312,nm5183398,nm0117865
tt4669210	nm0099552	nm0099552,nm2888074
tt4669252	nm0910607	nm1430632
tt4669264	nm0026442	nm0006904
tt4669278	nm0560364	nm0560364
tt4669296	nm0959774	nm0536370,nm0959774,nm3116483,nm7520458
tt4669788	nm0001460	nm1590589
tt4669954	nm0904192	nm9166042,nm2559529,nm0896858,nm0904192
tt4669974	nm0216459	nm3237020
